"","X","DRUG","CName","PName","cc_predict...2.","cc_real...2.","Acta_Normal"
"229",2,"Irinotecan","CAS1_CENTRAL_NERVOUS_SYSTEM","CAS-1",0.948075011034181,0.484798781583187,0.484798781583187
"230",3,"Irinotecan","GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","GRANTA-519",1.19208049227474,2.38472119011183,2.38472119011183
"231",4,"Irinotecan","HEC151_ENDOMETRIUM","HEC-151",0.972679360899331,0.936273186227416,0.936273186227416
"232",5,"Irinotecan","HGC27_STOMACH","HGC-27",1.02956057164051,0.310088806865727,0.310088806865727
"233",6,"Irinotecan","HS944T_SKIN","Hs 944.T",0.951103289949499,1.70569643292603,1.70569643292603
"234",7,"Irinotecan","HT29_LARGE_INTESTINE","HT-29",0.991154187360117,1.05645914363127,1.05645914363127
"235",8,"Irinotecan","K029AX_SKIN","K029AX",0.979435402274996,0.943396276375274,0.943396276375274
"236",9,"Irinotecan","KLE_ENDOMETRIUM","KLE",0.967043293312732,0.297396755329544,0.297396755329544
"237",10,"Irinotecan","KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KU812",1.14538241339357,0.84198937481577,0.84198937481577
"238",11,"Irinotecan","KYSE520_OESOPHAGUS","KYSE-520",0.929453696093213,-0.136917477594845,-0.136917477594845
"239",12,"Irinotecan","LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","LP-1",1.1476791739198,0.688065872257059,0.688065872257059
"240",13,"Irinotecan","LU99_LUNG","LU99",0.968233848601254,2.2138965372932,2.2138965372932
"241",14,"Irinotecan","MIAPACA2_PANCREAS","MIA PaCa-2",0.991443602021962,1.24981866346312,1.24981866346312
"242",15,"Irinotecan","NCIH2172_LUNG","NCI-H2172",0.985355359699961,-0.355920121958985,-0.355920121958985
"243",16,"Irinotecan","NCIH322_LUNG","NCI-H322",0.950220894811567,0.680100962364454,0.680100962364454
"244",17,"Irinotecan","NCIH3255_LUNG","NCI-H3255",0.953430768241863,0.947993907288892,0.947993907288892
"245",18,"Irinotecan","NCIH441_LUNG","NCI-H441",0.965591978512127,1.18409196800789,1.18409196800789
"246",19,"Irinotecan","ONCODG1_OVARY","ONCO-DG-1",0.968408800273873,0.738251280116967,0.738251280116967
"247",20,"Irinotecan","OVSAHO_OVARY","OVSAHO",0.984426231359974,0.271559364702314,0.271559364702314
"248",21,"Irinotecan","PANC0327_PANCREAS","Panc 03.27",0.933467223229895,1.28776530734171,1.28776530734171
"249",22,"Irinotecan","PANC0403_PANCREAS","Panc 04.03",0.934493026078467,0.189708583366929,0.189708583366929
"250",23,"Irinotecan","RERFLCAI_LUNG","RERF-LC-AI",0.937481549383995,0.983674113393161,0.983674113393161
"251",24,"Irinotecan","RL952_ENDOMETRIUM","RL95-2",0.963651536515677,0.406185768496828,0.406185768496828
"252",25,"Irinotecan","RT112_URINARY_TRACT","RT-112",0.9519479120404,1.49187421776033,1.49187421776033
"253",26,"Irinotecan","SKBR3_BREAST","SK-BR-3",1.00287305289002,1.89018446775555,1.89018446775555
"254",27,"Irinotecan","SKES1_BONE","SK-ES-1",1.07130431905979,2.50413008313592,2.50413008313592
"255",28,"Irinotecan","SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","SU-DHL-10",1.24063239919971,1.11350862017912,1.11350862017912
"256",29,"Irinotecan","SW620_LARGE_INTESTINE","SW620",1.00834498487257,1.42957955664907,1.42957955664907
"257",30,"Irinotecan","TE617T_SOFT_TISSUE","TE 617.T",1.01760760392066,1.91433821889329,1.91433821889329
"258",31,"Irinotecan","X639V_URINARY_TRACT","639-V",0.975076132374052,2.00195222771194,2.00195222771194
"259",1,"L-685458","BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","BL-70",-0.616940754830366,-0.936982963002243,-0.936982963002243
"260",2,"L-685458","C32_SKIN","C32",-0.784996989145798,-0.929730362124424,-0.929730362124424
"261",3,"L-685458","CAL27_UPPER_AERODIGESTIVE_TRACT","CAL 27",-0.797033389560991,-0.955878578503561,-0.955878578503561
"262",4,"L-685458","COLO201_LARGE_INTESTINE","COLO 201",-0.767465363600176,-0.955878578503561,-0.955878578503561
"263",5,"L-685458","DU145_PROSTATE","DU 145",-0.833151785577967,-0.902772703683031,-0.902772703683031
"264",6,"L-685458","EN_ENDOMETRIUM","EN",-0.780423296894251,-0.942662008511035,-0.942662008511035
"265",7,"L-685458","GCIY_STOMACH","GCIY",-0.801868351995545,-0.955878578503561,-0.955878578503561
"266",8,"L-685458","HCC15_LUNG","HCC-15",-0.814180962352524,-0.955878578503561,-0.955878578503561
"267",9,"L-685458","HCC1569_BREAST","HCC1569",-0.775629864046492,-0.955878578503561,-0.955878578503561
"268",10,"L-685458","HS578T_BREAST","Hs 578T",-0.785922207682187,-0.955878578503561,-0.955878578503561
"269",11,"L-685458","HSC2_UPPER_AERODIGESTIVE_TRACT","HSC-2",-0.81049941905589,-0.877330320782182,-0.877330320782182
"270",12,"L-685458","HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","HuT 78",-0.67120575456951,-0.488603864804083,-0.488603864804083
"271",13,"L-685458","JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","JVM-3",-0.629256097197631,0.255953321742007,0.255953321742007
"272",14,"L-685458","KP4_PANCREAS","KP4",-0.813008165520749,-0.488021066519259,-0.488021066519259
"273",15,"L-685458","L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","L-363",-0.666915894916242,-0.254189443574578,-0.254189443574578
"274",16,"L-685458","LUDLU1_LUNG","LUDLU-1",-0.798193326938973,-0.869171144794636,-0.869171144794636
"275",17,"L-685458","MCAS_OVARY","MCAS",-0.810636918704847,-0.933259529515863,-0.933259529515863
"276",18,"L-685458","MCF7_BREAST","MCF7",-0.767843441369184,-0.937073620513216,-0.937073620513216
"277",19,"L-685458","MDAMB415_BREAST","MDA-MB-415",-0.747435123344796,-0.927522204178588,-0.927522204178588
"278",20,"L-685458","MESSA_SOFT_TISSUE","MES-SA",-0.752658783172571,-0.555366646099006,-0.555366646099006
"279",21,"L-685458","MEWO_SKIN","MeWo",-0.791681413557574,-0.262866662481969,-0.262866662481969
"280",22,"L-685458","MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","Mino",-0.637085740887019,-0.951240151710006,-0.951240151710006
"281",23,"L-685458","MKN7_STOMACH","MKN7",-0.810792888900021,-0.955878578503561,-0.955878578503561
"282",24,"L-685458","MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","MOLT-16",-0.618158780799684,0.132529596089124,0.132529596089124
"283",25,"L-685458","NCIH1563_LUNG","NCI-H1563",-0.80843306266305,-0.90161358264988,-0.90161358264988
"284",26,"L-685458","NCIH1581_LUNG","NCI-H1581",-0.739669706601641,-0.804804312003993,-0.804804312003993
"285",27,"L-685458","NCIH1869_LUNG","NCI-H1869",-0.79284005200331,-0.955878578503561,-0.955878578503561
"286",28,"L-685458","NCIH211_LUNG","NCI-H211",-0.731210669095459,-0.537623676094342,-0.537623676094342
"287",29,"L-685458","NCIH322_LUNG","NCI-H322",-0.810623249044464,-0.955878578503561,-0.955878578503561
"288",30,"L-685458","NCIH727_LUNG","NCI-H727",-0.756544998494932,-0.535940036604848,-0.535940036604848
"289",31,"L-685458","ONS76_CENTRAL_NERVOUS_SYSTEM","ONS-76",-0.800198057879863,-0.880114801476345,-0.880114801476345
"290",32,"L-685458","OV90_OVARY","OV-90",-0.760081528687673,-0.955878578503561,-0.955878578503561
"291",33,"L-685458","RD_SOFT_TISSUE","RD",-0.771778331847651,-0.750539316150312,-0.750539316150312
"292",34,"L-685458","SF126_CENTRAL_NERVOUS_SYSTEM","SF126",-0.822831988493524,-0.919984679694855,-0.919984679694855
"293",35,"L-685458","SIMA_AUTONOMIC_GANGLIA","SIMA",-0.662431034891258,-0.146307005517022,-0.146307005517022
"294",36,"L-685458","SKMEL24_SKIN","SK-MEL-24",-0.77832678159908,-0.955878578503561,-0.955878578503561
"295",37,"L-685458","SNUC2A_LARGE_INTESTINE","SNU-C2A",-0.798724956229223,-0.955878578503561,-0.955878578503561
"296",38,"L-685458","SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","SU-DHL-8",-0.619314351799807,-0.176159228773044,-0.176159228773044
"297",39,"L-685458","SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","SUP-M2",-0.68628108747877,-0.703785942634372,-0.703785942634372
"298",40,"L-685458","SW1417_LARGE_INTESTINE","SW1417",-0.78915662390291,-0.729882354721524,-0.729882354721524
"299",41,"L-685458","SW780_URINARY_TRACT","SW 780",-0.792421868050938,-0.954681251805071,-0.954681251805071
"300",42,"L-685458","TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","Toledo",-0.650152370665057,-0.955878578503561,-0.955878578503561
"301",43,"L-685458","VMRCRCZ_KIDNEY","VMRC-RCZ",-0.803140978296063,-0.46723459436051,-0.46723459436051
"302",44,"L-685458","X639V_URINARY_TRACT","639-V",-0.80911393797563,-0.710390989862386,-0.710390989862386
"303",1,"Lapatinib","A253_SALIVARY_GLAND","A-253",-0.595435417607383,-0.422229615699044,-0.422229615699044
"304",2,"Lapatinib","BT549_BREAST","BT-549",-0.651178467286767,-0.308260173333318,-0.308260173333318
"305",3,"Lapatinib","CALU1_LUNG","Calu-1",-0.633154750796176,-0.728069204502069,-0.728069204502069
"306",4,"Lapatinib","CAMA1_BREAST","CAMA-1",-0.59066657255771,-0.861335745631992,-0.861335745631992
"307",5,"Lapatinib","COV504_OVARY","COV504",-0.629481504520542,-0.955878578503561,-0.955878578503561
"308",6,"Lapatinib","DKMG_CENTRAL_NERVOUS_SYSTEM","DK-MG",-0.676741216817068,-0.82287105883356,-0.82287105883356
"309",7,"Lapatinib","EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","EB2",-0.626471434211653,-0.641037993968242,-0.641037993968242
"310",8,"Lapatinib","EFM19_BREAST","EFM-19",-0.58551411673453,-0.467040328265568,-0.467040328265568
"311",9,"Lapatinib","ESS1_ENDOMETRIUM","ESS-1",-0.635230680828734,-0.119951571969947,-0.119951571969947
"312",10,"Lapatinib","HCC44_LUNG","HCC-44",-0.608759012070972,-0.856997136178297,-0.856997136178297
"313",11,"Lapatinib","HCT116_LARGE_INTESTINE","HCT 116",-0.601367624091848,-0.723601084318413,-0.723601084318413
"314",12,"Lapatinib","HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","HH",-0.630437801623844,-0.456938491328606,-0.456938491328606
"315",13,"Lapatinib","HMCB_SKIN","HMCB",-0.655475936332883,-0.274004585258619,-0.274004585258619
"316",14,"Lapatinib","HPAFII_PANCREAS","HPAF-II",-0.556193253258739,-0.0874443787497233,-0.0874443787497233
"317",15,"Lapatinib","HS683_CENTRAL_NERVOUS_SYSTEM","Hs 683",-0.66420705180682,-0.930747021354619,-0.930747021354619
"318",16,"Lapatinib","HT29_LARGE_INTESTINE","HT-29",-0.562438151746247,-0.435957753074916,-0.435957753074916
"319",17,"Lapatinib","HUPT4_PANCREAS","HUP-T4",-0.562069755518187,-0.239813752548902,-0.239813752548902
"320",18,"Lapatinib","ISHIKAWAHERAKLIO02ER_ENDOMETRIUM","Ishikawa (Heraklio) 02 ER-",-0.610148311619217,-0.364208808676492,-0.364208808676492
"321",19,"Lapatinib","JHH6_LIVER","JHH-6",-0.629383189800807,-0.955878578503561,-0.955878578503561
"322",20,"Lapatinib","JHH7_LIVER","JHH-7",-0.614640749175425,-0.324708036038371,-0.324708036038371
"323",21,"Lapatinib","KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KARPAS-299",-0.626476082033023,-0.955878578503561,-0.955878578503561
"324",22,"Lapatinib","KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KHM-1B",-0.620802359802551,-0.195262061442299,-0.195262061442299
"325",23,"Lapatinib","KP3_PANCREAS","KP-3",-0.593843626454694,-0.892619062454085,-0.892619062454085
"326",24,"Lapatinib","KPNSI9S_AUTONOMIC_GANGLIA","KP-N-SI9s",-0.666170762804051,-0.277436619602587,-0.277436619602587
"327",25,"Lapatinib","KYSE180_OESOPHAGUS","KYSE-180",-0.595958528868829,0.14548066908523,0.14548066908523
"328",26,"Lapatinib","LS411N_LARGE_INTESTINE","LS411N",-0.572988018156582,-0.927852456539989,-0.927852456539989
"329",27,"Lapatinib","LUDLU1_LUNG","LUDLU-1",-0.576636105253998,0.232965167173921,0.232965167173921
"330",28,"Lapatinib","MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","MC116",-0.628253517871772,-0.923177119188395,-0.923177119188395
"331",29,"Lapatinib","MDAMB468_BREAST","MDA-MB-468",-0.578332235163307,-0.0384245674594648,-0.0384245674594648
"332",30,"Lapatinib","MFE296_ENDOMETRIUM","MFE-296",-0.635256915902527,-0.667911470435161,-0.667911470435161
"333",31,"Lapatinib","NCIH1184_LUNG","NCI-H1184",-0.656016190449504,-0.791982749737849,-0.791982749737849
"334",32,"Lapatinib","NCIH2087_LUNG","NCI-H2087",-0.586079720358846,-0.698087470516086,-0.698087470516086
"335",33,"Lapatinib","NCIH211_LUNG","NCI-H211",-0.619274471670775,-0.519686439994736,-0.519686439994736
"336",34,"Lapatinib","NCIH358_LUNG","NCI-H358",-0.592277890712338,-0.0261858034781454,-0.0261858034781454
"337",35,"Lapatinib","OC316_OVARY","OC 316",-0.619252547760545,-0.654636620614153,-0.654636620614153
"338",36,"Lapatinib","OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","OCI-AML5",-0.630129339636502,-0.650038989700535,-0.650038989700535
"339",37,"Lapatinib","PANC0327_PANCREAS","Panc 03.27",-0.580647305697629,-0.468011658740276,-0.468011658740276
"340",38,"Lapatinib","PSN1_PANCREAS","PSN1",-0.609469124827862,-0.918411124325828,-0.918411124325828
"341",39,"Lapatinib","RD_SOFT_TISSUE","RD",-0.669208732133549,-0.829605616791535,-0.829605616791535
"342",40,"Lapatinib","RERFLCAI_LUNG","RERF-LC-AI",-0.637522223615779,-0.75772716166315,-0.75772716166315
"343",41,"Lapatinib","RERFLCMS_LUNG","RERF-LC-MS",-0.631372351017097,-0.935273421366757,-0.935273421366757
"344",42,"Lapatinib","RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","RPMI-8402",-0.635892313488921,-0.169295160085109,-0.169295160085109
"345",43,"Lapatinib","SKLMS1_SOFT_TISSUE","SK-LMS-1",-0.6591772936971,-0.360517752872602,-0.360517752872602
"346",44,"Lapatinib","SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","SK-MM-2",-0.624048718462899,-0.14611273942208,-0.14611273942208
"347",45,"Lapatinib","SNU449_LIVER","SNU-449",-0.633918904751174,-0.839513187633555,-0.839513187633555
"348",46,"Lapatinib","SU8686_PANCREAS","SU.86.86",-0.577312888932002,-0.897287924269181,-0.897287924269181
"349",47,"Lapatinib","TEN_ENDOMETRIUM","TEN",-0.591131240998593,-0.546430405731693,-0.546430405731693
"350",48,"Lapatinib","U118MG_CENTRAL_NERVOUS_SYSTEM","U-118 MG",-0.667667255808926,-0.926311278853452,-0.926311278853452
"351",49,"Lapatinib","U2OS_BONE","U-2 OS",-0.645685976304127,-0.480509444181518,-0.480509444181518
"352",50,"Lapatinib","UMUC3_URINARY_TRACT","UM-UC-3",-0.647370821153101,-0.955878578503561,-0.955878578503561
"353",51,"Lapatinib","X769P_KIDNEY","769-P",-0.623128344884057,0.0540460937327267,0.0540460937327267
"354",1,"LBW242","CALU6_LUNG","Calu-6",-0.609420107376574,-0.262219108832164,-0.262219108832164
"355",2,"LBW242","CAS1_CENTRAL_NERVOUS_SYSTEM","CAS-1",-0.600474880981836,-0.90603637407805,-0.90603637407805
"356",3,"LBW242","CCK81_LARGE_INTESTINE","CCK-81",-0.598646743618963,-0.486143160934823,-0.486143160934823
"357",4,"LBW242","COLO679_SKIN","COLO-679",-0.595163346646153,-0.866969462385298,-0.866969462385298
"358",5,"LBW242","DKMG_CENTRAL_NERVOUS_SYSTEM","DK-MG",-0.578928034015718,-0.848125651175965,-0.848125651175965
"359",6,"LBW242","HEPG2_LIVER","Hep G2",-0.58226269228919,-0.48329392487568,-0.48329392487568
"360",7,"LBW242","HMC18_BREAST","HMC-1-8",-0.604013721884528,-0.89349973541782,-0.89349973541782
"361",8,"LBW242","HPAC_PANCREAS","HPAC",-0.594434483569166,-0.153300584934918,-0.153300584934918
"362",9,"LBW242","HS729_SOFT_TISSUE","Hs 729",-0.597834911813199,0.0350080164284519,0.0350080164284519
"363",10,"LBW242","HS852T_SKIN","Hs 852.T",-0.589354369732467,-0.710326234497405,-0.710326234497405
"364",11,"LBW242","HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","HT",-0.5719084614582,-0.343810868707627,-0.343810868707627
"365",12,"LBW242","IGR37_SKIN","IGR-37",-0.593232317429935,-0.660788380287303,-0.660788380287303
"366",13,"LBW242","IPC298_SKIN","IPC-298",-0.596304192773502,-0.828440020221885,-0.828440020221885
"367",14,"LBW242","KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KARPAS-299",-0.571699208771245,-0.528687435727029,-0.528687435727029
"368",15,"LBW242","KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KCL-22",-0.582916596308464,-0.122023743649324,-0.122023743649324
"369",16,"LBW242","KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KMM-1",-0.586252161450233,-0.718420655119971,-0.718420655119971
"370",17,"LBW242","KNS62_LUNG","KNS-62",-0.604785366025146,-0.360064465317739,-0.360064465317739
"371",18,"LBW242","KPNSI9S_AUTONOMIC_GANGLIA","KP-N-SI9s",-0.597330073947381,-0.338306662684282,-0.338306662684282
"372",19,"LBW242","KYSE140_OESOPHAGUS","KYSE-140",-0.603623231750119,-0.477012654472569,-0.477012654472569
"373",20,"LBW242","KYSE410_OESOPHAGUS","KYSE-410",-0.611222778148596,-0.673350921093525,-0.673350921093525
"374",21,"LBW242","LS513_LARGE_INTESTINE","LS513",-0.589154626766374,-0.733184878335531,-0.733184878335531
"375",22,"LBW242","MESSA_SOFT_TISSUE","MES-SA",-0.595067159418198,-0.686042972629708,-0.686042972629708
"376",23,"LBW242","MFE280_ENDOMETRIUM","MFE-280",-0.596094063568807,-0.883417325090352,-0.883417325090352
"377",24,"LBW242","NCIH1666_LUNG","NCI-H1666",-0.603831836041154,-0.0729391769940854,-0.0729391769940854
"378",25,"LBW242","NCIH1869_LUNG","NCI-H1869",-0.601924647551709,-0.726450320377556,-0.726450320377556
"379",26,"LBW242","NCIH2009_LUNG","NCI-H2009",-0.611602172877072,-0.76750522177521,-0.76750522177521
"380",27,"LBW242","NCIH2085_LUNG","NCI-H2085",-0.607135763061495,-0.618114594765136,-0.618114594765136
"381",28,"LBW242","NCIH226_LUNG","NCI-H226",-0.606452438642853,-0.925741431641624,-0.925741431641624
"382",29,"LBW242","NCIH2444_LUNG","NCI-H2444",-0.603922029877737,-0.0285169966174444,-0.0285169966174444
"383",30,"LBW242","OC314_OVARY","OC 314",-0.614074546680008,-0.798458286235901,-0.798458286235901
"384",31,"LBW242","OVMANA_OVARY","OVMANA",-0.579442998934812,-0.275947246208035,-0.275947246208035
"385",32,"LBW242","PANC0203_PANCREAS","Panc 02.03",-0.609897635045387,-0.804545290544071,-0.804545290544071
"386",33,"LBW242","PC14_LUNG","PC-14",-0.609879418797914,-0.401119366715392,-0.401119366715392
"387",34,"LBW242","PK59_PANCREAS","PK-59",-0.596762336524439,-0.863602183406311,-0.863602183406311
"388",35,"LBW242","RERFLCAI_LUNG","RERF-LC-AI",-0.615058548391264,-0.699123556355774,-0.699123556355774
"389",36,"LBW242","RKO_LARGE_INTESTINE","RKO",-0.600249333222042,-0.803509204704382,-0.803509204704382
"390",37,"LBW242","RL952_ENDOMETRIUM","RL95-2",-0.604068632331948,-0.870725273554169,-0.870725273554169
"391",38,"LBW242","SF126_CENTRAL_NERVOUS_SYSTEM","SF126",-0.6052733350427,-0.777477547982211,-0.777477547982211
"392",39,"LBW242","SKHEP1_LIVER","SK-HEP-1",-0.604945021375139,-0.723536328953433,-0.723536328953433
"393",40,"LBW242","SKLU1_LUNG","SK-LU-1",-0.607351007378381,0.118089149698467,0.118089149698467
"394",41,"LBW242","SKNAS_AUTONOMIC_GANGLIA","SK-N-AS",-0.596641900619875,-0.570778422964371,-0.570778422964371
"395",42,"LBW242","SKOV3_OVARY","SK-OV-3",-0.609995555585548,0.771988825271821,0.771988825271821
"396",43,"LBW242","SNU387_LIVER","SNU-387",-0.604427389728474,-0.402414474015003,-0.402414474015003
"397",44,"LBW242","SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","SUP-M2",-0.574633468320929,1.07951205356434,1.07951205356434
"398",45,"LBW242","SW1353_BONE","SW 1353",-0.597188357418329,-0.747042526441364,-0.747042526441364
"399",46,"LBW242","TE15_OESOPHAGUS","TE-15",-0.604613479906165,0.2230575963319,0.2230575963319
"400",47,"LBW242","TEN_ENDOMETRIUM","TEN",-0.604174812439758,-0.320045649759774,-0.320045649759774
"401",48,"LBW242","TOV21G_OVARY","TOV-21G",-0.604652419435334,-0.360323486777661,-0.360323486777661
"402",49,"LBW242","WM88_SKIN","WM-88",-0.595905540157458,-0.881345153410975,-0.881345153410975
"403",50,"LBW242","WM983B_SKIN","WM-983B",-0.597212309162774,-0.0700899409349423,-0.0700899409349423
"404",51,"LBW242","X22RV1_PROSTATE","22Rv1",-0.597375401137223,-0.638188757909099,-0.638188757909099
"405",52,"LBW242","X42MGBA_CENTRAL_NERVOUS_SYSTEM","42-MG-BA",-0.597127881293603,-0.0626430739621817,-0.0626430739621817
"406",53,"LBW242","YKG1_CENTRAL_NERVOUS_SYSTEM","YKG1",-0.598970996817662,-0.622647470313773,-0.622647470313773
"407",1,"Nilotinib","AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","AMO-1",-0.589626830981946,0.0559239993171619,0.0559239993171619
"408",2,"Nilotinib","AZ521_STOMACH","AZ-521",-0.65709296142968,-0.214105872651633,-0.214105872651633
"409",3,"Nilotinib","BT474_BREAST","BT-474",-0.651888565858818,-0.617143264290428,-0.617143264290428
"410",4,"Nilotinib","CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CMK-86",-0.568950130923131,0.217877167133458,0.217877167133458
"411",5,"Nilotinib","EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","EB1",-0.548322315763297,-0.749827007135526,-0.749827007135526
"412",6,"Nilotinib","EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","EM-2",-0.585852181746322,2.97049822172567,2.97049822172567
"413",7,"Nilotinib","G361_SKIN","G-361",-0.674249008619526,-0.588456637604055,-0.588456637604055
"414",8,"Nilotinib","HCC70_BREAST","HCC70",-0.670425267084595,-0.895241654735796,-0.895241654735796
"415",9,"Nilotinib","HDQP1_BREAST","HDQ-P1",-0.684269370054013,1.01708788172311,1.01708788172311
"416",10,"Nilotinib","HEPG2_LIVER","Hep G2",-0.625210359876342,-0.801113256200103,-0.801113256200103
"417",11,"Nilotinib","HS578T_BREAST","Hs 578T",-0.668194391751299,-0.789133513678706,-0.789133513678706
"418",12,"Nilotinib","HS683_CENTRAL_NERVOUS_SYSTEM","Hs 683",-0.697766423453312,-0.7884859600289,-0.7884859600289
"419",13,"Nilotinib","HUH1_LIVER","huH-1",-0.655564281620628,-0.762454303306729,-0.762454303306729
"420",14,"Nilotinib","IGR37_SKIN","IGR-37",-0.660120922753214,-0.432914250920831,-0.432914250920831
"421",15,"Nilotinib","ISTMES2_PLEURA","IST-MES2",-0.696496146862797,-0.438224190849234,-0.438224190849234
"422",16,"Nilotinib","JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","JM1",-0.573529557619419,-0.557503573143363,-0.557503573143363
"423",17,"Nilotinib","KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KARPAS-422",-0.540030182123969,-0.889763350858443,-0.889763350858443
"424",18,"Nilotinib","KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KO52",-0.572668744381055,-0.46114759005234,-0.46114759005234
"425",19,"Nilotinib","KYSE410_OESOPHAGUS","KYSE-410",-0.70001314770746,-0.611121015347239,-0.611121015347239
"426",20,"Nilotinib","KYSE520_OESOPHAGUS","KYSE-520",-0.70288830887574,-0.529334989376834,-0.529334989376834
"427",21,"Nilotinib","MDAMB435S_SKIN","MDA-MB-435S",-0.682800503226967,-0.285272018765231,-0.285272018765231
"428",22,"Nilotinib","MHHES1_BONE","MHH-ES-1",-0.627747155446719,0.712154868029815,0.712154868029815
"429",23,"Nilotinib","NCIH1869_LUNG","NCI-H1869",-0.678686198778403,-0.668040981165122,-0.668040981165122
"430",24,"Nilotinib","NCIH2172_LUNG","NCI-H2172",-0.667617757248482,-0.904488720855015,-0.904488720855015
"431",25,"Nilotinib","NCIH28_PLEURA","NCI-H28",-0.680048919127304,-0.798782063060804,-0.798782063060804
"432",26,"Nilotinib","NCIH661_LUNG","NCI-H661",-0.664384138741015,-0.600242114030511,-0.600242114030511
"433",27,"Nilotinib","NCIH727_LUNG","NCI-H727",-0.649666416240372,-0.573951435848417,-0.573951435848417
"434",28,"Nilotinib","OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","OCI-AML2",-0.561299794854672,-0.405911263723951,-0.405911263723951
"435",29,"Nilotinib","ONCODG1_OVARY","ONCO-DG-1",-0.679686751653923,-0.558474903618071,-0.558474903618071
"436",30,"Nilotinib","OV90_OVARY","OV-90",-0.65141345488306,-0.547013204016518,-0.547013204016518
"437",31,"Nilotinib","PANC0403_PANCREAS","Panc 04.03",-0.698527247111267,-0.525967710397847,-0.525967710397847
"438",32,"Nilotinib","PK59_PANCREAS","PK-59",-0.675239067691107,-0.743804758192337,-0.743804758192337
"439",33,"Nilotinib","SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","SIG-M5",-0.58399922342896,0.529609494149711,0.529609494149711
"440",34,"Nilotinib","SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","SK-MM-2",-0.593399490393802,-0.625561461737896,-0.625561461737896
"441",35,"Nilotinib","SNUC2A_LARGE_INTESTINE","SNU-C2A",-0.682802248732047,-0.890410904508249,-0.890410904508249
"442",36,"Nilotinib","VMRCLCD_LUNG","VMRC-LCD",-0.616015027279586,-0.360388242142641,-0.360388242142641
"443",37,"Nilotinib","X769P_KIDNEY","769-P",-0.690223913201722,-0.465356688776074,-0.465356688776074
"444",38,"Nilotinib","ZR7530_BREAST","ZR-75-30",-0.640223130311576,-0.69990062073554,-0.69990062073554
"445",1,"Nutlin-3","A2780_OVARY","A2780",-0.657771216336084,-0.311238920122422,-0.311238920122422
"446",2,"Nutlin-3","AZ521_STOMACH","AZ-521",-0.668473342121448,-0.0702842070298838,-0.0702842070298838
"447",3,"Nutlin-3","COLO741_SKIN","COLO 741",-0.674940604409106,-0.387585495434462,-0.387585495434462
"448",4,"Nutlin-3","COV318_OVARY","COV318",-0.677005093758485,-0.702879367524645,-0.702879367524645
"449",5,"Nutlin-3","DU145_PROSTATE","DU 145",-0.701641765896618,-0.940635165587145,-0.940635165587145
"450",6,"Nutlin-3","GCIY_STOMACH","GCIY",-0.685679613414963,-0.694849702267059,-0.694849702267059
"451",7,"Nutlin-3","HCC1569_BREAST","HCC1569",-0.672500450974328,-0.897281448732683,-0.897281448732683
"452",8,"Nutlin-3","HEC1A_ENDOMETRIUM","HEC-1-A",-0.68973664205821,-0.726515075742537,-0.726515075742537
